1,Jeff Bezos,147.3,54,Amazon,United States

2,Bill Gates,95.9,62,Microsoft,United States

3,Warren Buffett,85.1,88,Berkshire Hathaway,United States

4,Bernard Arnault,71.2,69,LVMH,France

5,Amancio Ortega,62.5,82,Zara,Spain

6,Carlos Slim Helu,60.8,78,telecom,Mexico

7,Larry Ellison,57.9,74,software,United States

8,Mark Zuckerberg,57.6,34,Facebook,United States

9,Charles Koch,51.6,82,Koch Industries,United States

9,David Koch,51.6,78,Koch Industries,United States

11,Larry Page,51.5,45,Google,United States

12,Sergey Brin,50.2,45,Google,United States

13,Michael Bloomberg,46.9,76,Bloomberg LP,United States

14,Jim Walton,44.8,70,Walmart,United States

15,Alice Walton,44.5,69,Walmart,United States

16,S Robson Walton,44.5,73,Walmart,United States

17,Mukesh Ambani,43.1,61,petrochemicals oil & gas,India

18,Steve Ballmer,42.7,62,Microsoft,United States

19,Francoise Bettencourt Meyers,42.4,65,L'Oreal,France

20,Jack Ma,34.6,54,ecommerce,China

21,Sheldon Adelson,33.6,85,casinos,United States

22,Ma Huateng,32.8,47,internet media,China

23,Phil Knight,32.4,80,Nike,United States

24,Li Kashing,31.2,90,diversified,Hong Kong

25,Hui Ka Yan,30.8,60,real estate,China

26,David Thomson,27.8,61,media,Canada

27,Lee Shau Kee,27.3,90,real estate,Hong Kong

28,Michael Dell,27.2,53,Dell computers,United States

29,Francois Pinault,26.5,82,luxury goods,France

30,Beate Heister & Karl Albrecht Jr,25.7,67,supermarkets,Germany

31,Tadashi Yanai,25.2,69,fashion retail,Japan

32,Masayoshi Son,24.6,61,internet telecom,Japan

33,Wang Jianlin,24.6,64,real estate,China

34,Jacqueline Mars,23.8,79,candy pet food,United States

34,John Mars,23.8,82,candy pet food,United States

36,Jorge Paulo Lemann,23,79,beer,Brazil

37,Dietrich Mateschitz,22.6,74,Red Bull,Austria

38,Leonid Mikhelson,22,63,gas chemicals,Russia

39,Leonardo Del Vecchio,21.5,83,eyeglasses,Italy

40,Susanne Klatten,21.4,56,BMW pharmaceuticals,Germany

41,Giovanni Ferrero,21,54,Nutella chocolates,Italy

42,Laurene Powell Jobs,20.6,54,Apple Disney,United States

43,Paul Allen,20.3,65,Microsoft investments,United States

44,James Simons,20,80,hedge funds,United States

45,Vladimir Lisin,19.9,62,steel transport,Russia

46,Azim Premji,19.9,73,software services,India

47,Joseph Safra,19.8,79,banking,Brazil

48,Gennady Timchenko,19.5,65,oil gas,Russia

49,Elon Musk,19.5,47,Tesla Motors,United States

50,Vagit Alekperov,18.7,68,oil,Russia

51,Stefan Quandt,18.6,52,BMW,Germany

52,Alexey Mordashov,18.4,53,steel investments,Russia

53,Rupert Murdoch,18.1,87,newspapers TV network,United States

54,Ray Dalio,18.1,69,hedge funds,United States

55,Theo Albrecht Jr,17.7,67,Aldi Trader Joe's,Germany

56,Thomas Peterffy,17.6,74,discount brokerage,United States

57,Harold Hamm,17.4,72,oil & gas,United States

58,He Xiangjian,17.3,76,home appliances,China

59,Gina Rinehart,17.2,64,mining,Australia

60,Hinduja family,17.2,,diversified,United Kingdom

61,Yang Huiyan,17.1,37,real estate,China

62,Len Blavatnik,17,61,diversified,United States

63,Carl Icahn,17,82,investments,United States

64,Stefan Persson,16.9,71,H&M,Sweden

65,Lakshmi Mittal,16.7,68,steel,India

66,Lee Kunhee,16.7,76,Samsung,South Korea

67,Henry Sy,16.5,93,diversified,Philippines

68,Donald Bren,16.4,86,real estate,United States

69,Joseph Lau,16,67,real estate,Hong Kong

70,Abigail Johnson,16,56,money management,United States

71,Georg Schaeffler,15.5,53,auto parts,Germany

72,Takemitsu Takizaki,15.3,73,sensors,Japan

73,Lukas Walton,15.1,32,Walmart,United States

74,Vladimir Potanin,15,57,metals,Russia

75,Dieter Schwarz,14.9,79,retail,Germany

76,Wang Wei,14.9,48,package delivery,China

77,German Larrea Mota Velasco,14.8,64,mining,Mexico

78,Lui Che Woo,14.8,89,casinos,Hong Kong

79,David & Simon Reuben,14.8,,investments real estate,United Kingdom

80,Robin Li,14.6,49,internet search,China

81,Iris Fontbona,14.5,75,mining,Chile

82,Alain Wertheimer,14.4,70,Chanel,France

82,Gerard Wertheimer,14.4,67,Chanel,France

84,Thomas & Raymond Kwok,14.3,,real estate,Hong Kong

85,Li Shufu,14.2,55,automobiles,China

86,Dhanin Chearavanont,14,79,diversified,Thailand

87,Emmanuel Besnier,14,48,cheese,France

88,Eric Schmidt,13.9,63,Google,United States

89,Pallonji Mistry,13.9,89,construction,Ireland

90,Charoen Sirivadhanabhakdi,13.7,74,drinks real estate,Thailand

91,Charlene de CarvalhoHeineken,13.7,64,Heineken,Netherlands

92,Petr Kellner,13.6,54,banking,Czech Republic

93,Stephen Schwarzman,13.6,71,investments,United States

94,KlausMichael Kuehne,13.6,81,shipping,Germany

95,Hasso Plattner,13.6,74,software,Germany

96,William Ding,13.5,47,online games,China

97,Shiv Nadar,13.2,73,software services,India

98,Pierre Castel & family,13,91,wine,France

99,Andrey Melnichenko,13,46,coal fertilizers,Russia

100,Robert Kuok,12.9,95,palm oil shipping property,Malaysia

101,Steve Cohen,12.9,62,hedge funds,United States

102,Mikhail Fridman,12.9,54,oil banking telecom,Russia

103,Alisher Usmanov,12.6,65,steel telecom investments,Russia

104,Viktor Vekselberg,12.5,61,metals energy,Russia

105,James Ratcliffe,12.5,65,chemicals,United Kingdom

106,Hans Rausing,12.5,92,packaging,Sweden

107,Stefano Pessina,12.5,77,drugstores,Italy

108,Udo & Harald Tschira,12.4,,software,Germany

109,Leonard Lauder,12.3,81,Estee Lauder,United States

110,Thomas Frist Jr,12,80,health care,United States

111,Robert & Philip Ng,12,,real estate,Singapore

112,Lei Jun,11.9,48,smartphones,China

113,Kumar Birla,11.7,51,commodities,India

114,Marcel Herrmann Telles,11.6,68,beer,Brazil

115,Roman Abramovich,11.6,51,steel investments,Russia

116,Lee Man Tat,11.6,88,Oyster sauce real estate,Hong Kong

117,David Tepper,11.6,61,hedge funds,United States

118,Sun Piaoyang,11.6,60,pharmaceuticals,China

119,Reinhold Wuerth,11.6,83,fasteners,Germany

120,Donald Newhouse,11.4,89,media,United States

121,Philip Anschutz,11.2,78,investments,United States

122,Zhang Zhidong,11.2,46,internet media,China

123,Aliko Dangote,11,61,cement sugar flour,Nigeria

124,Dilip Shanghvi,10.9,63,pharmaceuticals,India

125,R Budi Hartono,10.9,77,banking tobacco,Indonesia

126,Pierre Omidyar,10.8,51,eBay,United States

127,Dietmar Hopp,10.8,78,software,Germany

128,Charles Butt & family,10.7,80,supermarkets,United States

129,Luis Carlos Sarmiento,10.7,85,banking,Colombia

130,Heinz Hermann Thiele,10.6,77,brakes,Germany

131,Alexander Otto,10.6,51,real estate,Germany

132,Heinrich Deichmann & family,10.5,55,footwear,Germany

133,Uday Kotak,10.5,59,banking,India

134,Michael Hartono,10.5,79,banking tobacco,Indonesia

135,Michael Otto,10.4,75,retail real estate,Germany

136,Radhakishan Damani,10.3,63,investments retail,India

137,Dustin Moskovitz,10.3,34,Facebook,United States

138,Wang Wenyin,10.1,50,mining copper products,China

139,John Menard Jr,10,78,home improvement stores,United States

140,Charles Ergen,10,65,satellite TV,United States

141,Ken Griffin,9.9,49,hedge funds,United States

142,Alberto Bailleres Gonzalez,9.9,87,mining,Mexico

143,Carlos Alberto Sicupira,9.8,70,beer,Brazil

144,Peter Woo,9.8,72,real estate,Hong Kong

145,Seo Jungjin,9.7,60,biotech,South Korea

146,Walter PJ Droege,9.7,65,consulting,Germany

147,Jan Koum,9.5,42,WhatsApp,United States

148,Andrew Beal,9.4,65,banks real estate,United States

149,Ronald Perelman,9.3,75,leveraged buyouts,United States

150,Eyal Ofer,9.3,68,real estate shipping,Israel

151,Zong Qinghou,9.3,73,beverages,China

152,Viktor Rashnikov,9.2,70,steel,Russia

153,Mikhail Prokhorov,9.2,53,investments,Russia

154,Charles Schwab,9.1,81,discount brokerage,United States

155,Gordon Moore,9.1,89,Intel,United States

156,Xu Shihui,9.1,60,snacks beverages,China

157,Blair ParryOkeden,9.1,68,media automotive,United States

157,Jim Kennedy,9.1,70,media,United States

159,Micky Arison,9.1,69,Carnival Cruises,United States

160,Eduardo Saverin,9,36,Facebook,Brazil

161,Harry Triguboff,8.9,85,real estate,Australia

162,Pang Kang,8.8,62,soy sauce maker,China

163,August von Finck,8.7,88,investments,Germany

164,Carrie Perrodo,8.7,67,oil,France

165,Graeme Hart,8.7,63,investments,New Zealand

166,David Geffen,8.6,75,movies record labels,United States

167,David Duffield,8.6,78,business software,United States

168,James Goodnight,8.6,75,software,United States

169,Stanley Kroenke,8.5,71,sports real estate,United States

170,Ernesto Bertarelli,8.5,53,biotech investments,Switzerland

171,Giorgio Armani,8.4,84,luxury goods,Italy

172,Ricardo Salinas Pliego,8.4,62,retail media,Mexico

173,German Khan,8.4,56,oil banking telecom,Russia

174,George Soros,8.3,88,hedge funds,United States

175,James Irving,8.3,90,diversified,Canada

176,Galen Weston,8.3,77,retail,Canada

177,Joseph Tsai,8.3,54,ecommerce,Canada

178,Carl Cook,8.2,56,medical devices,United States

179,Edward Johnson III,8,88,money management,United States

180,Michael Kadoorie,8,77,hotels energy,Hong Kong

181,Gianluigi & Rafaela Aponte,7.8,78,Shipping,Switzerland

182,George Kaiser,7.8,76,oil & gas banking,United States

183,Leonid Fedun,7.8,62,oil,Russia

184,Loretta Robinson & family,7.7,79,cable tv,Canada

185,Nicky Oppenheimer,7.7,73,diamonds,South Africa

186,Pauline MacMillan Keinath,7.7,84,Cargill,United States

187,Stephen Ross,7.6,78,real estate,United States

188,Melker Schorling,7.6,71,investments,Sweden

189,John Fredriksen,7.4,73,shipping,Cyprus

190,Savitri Jindal,7.4,68,steel,India

191,Massimiliana Landini Aleotti,7.4,75,pharmaceuticals,Italy

192,John Malone,7.4,77,cable television,United States

193,John Doerr,7.4,67,venture capital,United States

194,Fan Hongwei,7.3,51,petrochemicals,China

195,Cyrus Poonawalla,7.3,77,vaccines,India

196,Charles Cadogan & family,7.2,81,real estate,United Kingdom

197,Herbert Kohler Jr,7.2,79,plumbing fixtures,United States

198,Zhang Jindong,7.2,55,appliance retailer,China

199,Frederik Paulsen,7.2,67,health care,Sweden

200,Hui Wing Mau,7.2,68,real estate,Hong Kong

201,Christy Walton,7.1,69,Walmart,United States

202,Ma Jianrong,7,54,textiles apparel,China

203,Patrick SoonShiong,7,66,pharmaceuticals,United States

204,Jerry Jones,7,76,Dallas Cowboys,United States

205,Walter Kwok,7,67,real estate,Hong Kong

206,Goh Cheng Liang,6.9,91,paints,Singapore

207,Shahid Khan,6.9,68,auto parts,United States

208,Yao Zhenhua,6.9,48,conglomerate,China

209,Nassef Sawiris,6.9,57,construction chemicals,Egypt

210,Quek Leng Chan,6.9,77,banking property,Malaysia

211,Ralph Lauren,6.8,78,Ralph Lauren,United States

212,Sri Prakash Lohia,6.8,66,polyester,Indonesia

213,Tom & Judy Love,6.8,81,retail & gas stations,United States

214,Dmitry Rybolovlev,6.8,51,fertilizer,Russia

215,David Green,6.7,76,retail,United States

216,Jae Y Lee,6.7,50,Samsung,South Korea

217,Guo Guangchang,6.7,51,conglomerate,China

218,Wu Yajun,6.7,54,real estate,China

219,Eli Broad,6.7,85,investments,United States

220,Gautam Adani,6.7,56,commodities ports,India

221,Willi & Isolde Liebherr,6.7,,Construction,Switzerland

222,Daniel Gilbert,6.7,56,Quicken Loans,United States

223,Hank & Doug Meijer,6.6,,supermarkets,United States

224,Iskander Makhmudov,6.6,54,mining metals machinery,Russia

225,Leon Black,6.6,67,private equity,United States

